gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
TTC7A	907	2167	2281	3876	84	1975	159	731	535	508	953	448
AC093732.2	2	1	1	1	0	4	0	3	2	0	2	0
AC093732.1	0	0	0	2	0	4	0	0	0	1	0	0
STPG4	2	4	1	2	0	2	4	4	1	2	0	0
AC073283.3	0	1	0	0	0	0	0	0	1	0	4	7
AC073283.1	2	11	0	22	0	14	2	6	2	5	9	1
CALM2	33892	29269	31254	47235	1375	20911	1920	8089	5597	12086	56172	29370
AC106869.1	1	8	16	32	0	23	4	4	11	1	0	0
AC073283.2	0	0	0	0	0	0	1	0	0	0	0	0
EPCAM	14	268	263	687	36	435	150	1597	642	574	10	7
MSH2	321	535	473	509	26	256	17	74	65	275	313	130
KCNK12	4	23	19	51	4	26	1	7	13	66	3	1
AC138655.1	0	0	0	0	0	0	1	0	0	0	0	0
MSH6	240	771	621	1351	30	517	75	179	100	366	210	89
FBXO11	1082	1112	1018	3097	58	1462	197	490	317	384	620	365
AC079807.1	15	40	28	149	2	58	48	13	38	55	16	20
AC092650.1	0	2	2	3	0	4	2	1	0	0	2	2
FOXN2	1254	2227	1848	4265	72	1997	175	436	577	553	797	482
AC093635.1	9	33	24	201	1	95	22	26	11	41	7	7
PPP1R21	603	1148	1108	1749	79	872	123	243	270	323	491	231
STON1	168	62	208	46	4	24	3	12	9	10	234	95
STON1-GTF2A1L	1	23	75	1	0	1	0	0	0	0	1	4
GTF2A1L	0	0	0	0	0	0	0	0	0	0	0	0
AC073082.1	0	0	0	0	0	0	0	0	0	0	0	0
LHCGR	0	0	0	0	0	1	0	0	0	0	0	0
AC009975.1	0	0	0	0	0	0	0	0	0	0	0	0
FSHR	0	0	0	0	0	0	0	0	0	0	0	0
AC009975.2	0	0	0	0	0	0	0	0	1	0	0	0
AC009971.1	0	0	0	0	0	0	0	1	0	0	0	0
NRXN1	0	7	11	1	0	1	1	3	1	1	1	1
AC009234.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007402.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01867	0	0	2	0	0	2	1	2	0	0	0	0
AC139712.3	0	0	0	0	0	0	0	0	0	0	0	0
AC010967.1	0	0	0	0	0	0	18	12	3	4	0	0
AC010967.2	0	0	0	0	0	0	0	0	0	0	0	0
ASB3	258	368	397	542	19	206	33	81	89	158	221	138
GPR75-ASB3	1	0	0	0	0	1	0	1	0	0	0	0
CHAC2	71	163	152	470	12	85	15	41	33	282	117	62
ERLEC1	1547	4186	4380	7746	210	3277	324	1697	961	3076	3047	1907
GPR75	8	4	7	10	2	10	0	4	2	5	3	2
PSME4	1487	1634	1520	2898	95	1064	153	603	314	599	1265	804
ACYP2	747	2063	2397	1771	104	733	186	585	303	387	2418	1364
AC008280.3	51	14	21	12	0	11	4	1	0	2	73	58
TSPYL6	0	0	1	1	0	1	1	1	0	0	0	0
C2orf73	0	140	151	51	8	164	56	65	21	11	3	5
SPTBN1	125	719	663	1863	66	683	464	1056	622	1383	47	75
AC092839.1	0	3	0	1	0	2	8	2	2	2	0	0
AC092839.2	0	0	0	0	0	0	0	0	1	0	0	0
AC093110.1	0	0	0	1	0	1	1	1	0	1	0	0
EML6	8	24	27	30	1	47	12	26	14	36	7	6
AC104781.1	0	0	0	0	0	0	0	0	0	0	0	0
RTN4	16671	15675	16173	42219	678	20117	1733	5502	3773	4239	15765	7731
CLHC1	207	198	148	132	4	132	33	71	32	45	122	41
AC012358.1	10	1	0	1	0	0	0	0	0	0	1	0
RPS27A	59989	86298	76788	180811	4162	50810	5769	30115	18239	49590	127458	95568
MTIF2	504	994	1102	1699	31	624	72	298	111	440	495	382
AC012358.3	23	20	28	26	1	20	4	18	7	20	10	7
CCDC88A	11721	15519	14010	14776	462	8791	874	2639	715	1044	10071	5996
CFAP36	650	1534	1587	1207	80	770	167	695	197	249	904	586
PPP4R3B	1455	2656	2424	4718	122	1897	275	814	464	936	1011	571
AC015982.1	98	185	137	244	12	110	26	27	28	38	87	66
PNPT1	938	4897	3954	11048	159	3771	464	1455	799	614	576	374
EFEMP1	0	92	184	171	32	278	14	484	143	70	7	8
AC011306.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR217HG	0	0	0	0	0	0	0	0	0	0	0	0
LINC01813	0	0	0	0	0	0	0	0	0	0	0	0
AC007743.1	1	2	5	8	0	6	2	0	2	0	1	2
CCDC85A	1	1	3	7	0	2	0	3	1	0	0	0
VRK2	1381	2702	2269	4888	125	1949	196	563	390	695	1400	923
FANCL	510	678	781	668	22	372	46	115	106	218	459	255
AC007250.1	1	1	2	11	0	5	0	1	1	9	1	0
LINC01795	0	0	0	0	0	0	0	0	0	0	0	0
LINC01122	10	65	20	2	0	1	0	0	2	1	29	14
LINC01793	0	0	0	0	0	0	0	0	0	0	1	0
AC007100.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007179.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007179.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007381.1	0	2	6	3	0	0	0	0	0	1	0	0
MIR4432HG	0	7	1	1	1	0	0	0	0	0	0	0
BCL11A	473	382	241	718	25	424	74	113	76	42	205	277
AC009970.1	0	0	0	0	0	0	0	0	0	0	0	0
PAPOLG	474	663	573	1661	45	740	85	186	174	212	314	204
LINC01185	0	6	1	1	0	3	3	2	1	0	0	0
REL	2882	6778	5094	13808	339	4399	1687	1680	637	603	2255	1460
PUS10	409	600	471	375	8	154	51	35	45	89	254	186
PEX13	413	790	689	1241	34	457	82	285	198	228	348	199
KIAA1841	469	480	551	671	16	383	62	276	105	127	343	205
C2orf74	455	3948	2241	523	46	338	36	433	96	442	1576	509
AC016747.2	1	2	2	3	1	2	0	1	1	2	2	2
USP34	1507	1719	1576	3674	90	1354	244	656	453	850	1133	628
AC016727.1	35	115	93	321	3	99	21	45	28	66	37	30
XPO1	2380	3938	3168	8103	155	3685	379	1152	1252	1773	1393	876
FAM161A	89	118	155	179	6	163	50	114	38	84	54	21
CCT4	3032	5142	5352	15134	247	4399	560	1605	1231	2837	3705	2215
AC107081.2	1	10	14	20	1	4	0	2	2	7	3	1
COMMD1	1274	3605	3888	5100	183	2690	260	797	691	1307	2326	1072
AC018462.1	1	1	2	2	0	2	0	0	0	3	1	0
B3GNT2	2251	5492	4450	12909	324	9875	459	1636	1212	1010	2117	1382
AC093159.1	5	8	10	8	0	10	8	6	3	4	2	6
TMEM17	23	58	77	38	2	46	12	40	13	12	39	22
AC092155.1	0	0	0	0	0	0	0	0	0	0	0	0
EHBP1	210	401	365	490	15	199	33	167	101	176	108	57
AC092567.1	0	1	1	0	0	0	0	0	0	0	1	0
AC009501.1	19	15	20	32	3	20	6	41	18	10	22	9
OTX1	0	32	23	40	11	93	26	162	52	26	0	2
WDPCP	230	293	277	244	10	156	58	83	35	61	144	105
MDH1	8072	8991	12770	7864	425	4369	382	1189	951	2303	10305	5916
UGP2	3890	4800	4995	8281	179	3020	549	1225	1071	1153	5526	3178
VPS54	598	532	461	1059	20	466	39	166	117	219	464	285
AC012368.2	0	1	0	5	0	3	0	1	3	1	0	0
PELI1	455	1011	792	3236	66	1291	428	885	456	415	269	155
AC012368.1	54	397	222	188	5	108	42	40	21	144	79	23
LINC00309	1	20	7	207	3	92	12	30	54	16	0	2
AC114752.1	0	0	0	0	0	0	0	0	0	0	0	0
AC114752.2	0	0	0	0	0	0	0	0	0	0	0	0
AC008074.1	1	0	2	3	0	0	2	3	2	2	1	0
LGALSL	150	93	196	213	11	60	30	199	80	111	210	184
LINC01805	0	0	0	0	0	0	2	3	0	3	0	0
AC008074.3	27	42	38	248	3	128	11	34	23	37	22	9
AFTPH	1481	2351	2102	6674	118	2951	353	889	510	939	940	537
LINC02579	0	1	1	1	0	1	3	0	0	5	0	0
SERTAD2	1169	1312	1209	3837	69	2188	280	584	442	549	773	408
AC007365.1	3	26	15	54	0	26	8	15	4	7	0	1
LINC01800	13	5	3	7	2	13	2	0	0	1	9	3
LINC02245	0	4	3	2	1	3	1	1	0	5	0	0
SLC1A4	272	744	653	3520	73	2187	204	500	277	1231	212	89
LINC02576	2	3	2	31	0	7	1	4	1	34	1	1
CEP68	247	427	376	1083	44	368	94	192	178	157	132	86
RAB1A	5097	6489	5832	26396	325	10538	1188	2753	2296	2972	5443	3238
ACTR2	14076	9572	9139	22276	396	9141	876	2911	1403	3281	9803	5360
SPRED2	212	226	168	458	4	231	29	125	45	83	138	79
AC012370.2	0	0	0	0	0	0	2	0	0	1	0	0
AC007389.3	0	0	2	0	0	1	2	4	0	0	0	0
AC007389.5	1	0	0	4	0	9	14	0	1	5	2	0
AC118345.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092669.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01873	0	3	3	6	2	7	6	13	5	4	15	19
MEIS1-AS3	0	0	0	0	0	0	1	0	1	0	0	0
MEIS1	4	29	32	45	2	52	20	112	53	39	2	3
MEIS1-AS2	0	0	0	0	0	1	0	2	1	1	0	0
LINC01798	0	2	0	0	0	0	1	0	0	0	0	0
LINC01797	0	8	6	5	2	1	0	5	1	2	0	0
LINC01799	0	0	0	0	0	0	0	0	0	0	0	0
LINC01628	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01828	0	0	2	6	0	1	5	3	10	3	0	0
LINC01829	1	1	0	3	0	0	2	12	2	2	0	0
AC023115.1	0	0	0	0	0	0	0	0	0	0	0	0
ETAA1	249	444	377	428	10	198	13	87	69	113	183	120
AC007422.1	0	0	0	0	0	0	0	0	0	0	0	0
AC007422.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01812	0	0	0	4	0	0	0	0	0	0	0	0
C1D	3716	3951	4654	6735	151	3187	248	948	706	1335	3949	1571
WDR92	237	136	140	99	10	111	20	65	16	58	238	122
AC017083.3	0	1	5	7	1	1	0	1	0	1	0	0
PNO1	597	1011	1082	1787	32	803	113	427	185	532	771	373
PPP3R1	1153	1275	1334	3440	65	1367	168	498	369	674	1107	524
AC017083.2	7	91	82	204	4	71	6	33	29	48	4	6
AC017083.1	41	40	54	182	6	34	19	18	11	60	83	39
CNRIP1	183	156	145	83	8	48	11	46	12	22	218	91
AC015969.1	0	0	0	26	1	9	2	2	0	0	1	0
PLEK	4493	19294	12368	101218	731	21048	4888	5629	1811	3976	6371	3190
FBXO48	159	277	256	465	15	232	33	67	39	117	243	119
APLF	51	195	157	158	8	89	30	27	19	59	47	25
PROKR1	0	0	0	0	0	0	1	0	0	0	0	0
ARHGAP25	715	5382	3924	7177	206	2503	443	615	629	474	1036	634
LINC01888	33	78	45	295	2	115	48	25	57	25	42	8
LINC01890	0	0	0	2	0	0	1	0	1	0	0	0
BMP10	0	0	0	0	0	1	0	0	0	0	0	0
GKN2	0	0	0	46	0	5	0	4	0	1	0	0
GKN1	0	0	0	0	0	0	0	0	0	0	0	0
ANTXR1	12	20	12	16	1	24	5	69	15	8	3	0
GFPT1	733	1066	839	2318	71	874	161	753	537	691	656	420
NFU1	1436	2399	2808	2608	84	696	151	507	288	520	2373	1178
AAK1	3862	5159	5075	11157	420	4725	733	1226	1311	1229	3821	2405
ANXA4	3707	6862	8379	16871	418	13109	757	2524	3199	1235	2713	1625
AC092431.1	0	0	2	0	0	1	1	0	1	0	0	0
GMCL1	877	845	897	1503	53	632	77	266	214	442	571	376
SNRNP27	1625	2185	1847	4892	133	2565	240	717	566	959	2723	1659
MXD1	726	1157	892	16378	145	4954	1697	1482	1554	1000	275	147
ASPRV1	4	8	9	53	2	17	25	2	6	2	1	4
PCBP1	8955	18666	15010	50488	1132	21890	2529	9176	7478	7750	8485	4835
AC016700.3	0	0	0	0	0	0	1	0	0	1	0	0
LINC01816	26	62	39	231	5	86	22	38	20	55	22	17
C2orf42	131	317	280	530	17	188	30	79	70	117	103	49
TIA1	1089	2093	1806	4818	106	1702	197	557	652	676	754	410
PCYOX1	724	443	548	613	22	269	27	202	66	120	532	313
SNRPG	3767	15606	13298	40806	672	14401	1426	5226	3026	8486	11329	5754
FAM136A	794	2393	1959	4223	83	1197	110	800	398	1224	993	579
AC022201.2	0	18	7	20	1	9	0	6	4	2	1	2
AC022201.1	0	0	0	0	0	2	2	3	2	2	0	0
TGFA	68	189	91	361	5	106	35	180	174	141	28	71
ADD2	2	8	4	49	0	21	1	11	4	4	1	1
AC005234.1	0	0	0	0	0	0	0	0	0	0	0	0
FIGLA	3	2	12	56	2	4	0	1	5	0	1	0
CLEC4F	259	10	10	71	1	3	2	40	0	8	19	3
CD207	146	61	40	1	7	11	0	3	0	5	24	8
LINC01143	0	0	0	0	0	0	0	0	0	0	0	0
VAX2	0	0	0	0	1	0	0	1	0	0	0	0
ATP6V1B1	0	6	31	1	18	10	0	40	2	2	1	1
AC007040.2	1	0	1	3	0	0	1	0	0	0	1	1
ATP6V1B1-AS1	0	0	2	1	0	0	0	0	0	1	0	0
ANKRD53	2	12	10	35	2	25	27	16	14	8	2	2
TEX261	624	654	553	1083	33	511	58	312	126	202	522	267
AC007040.1	0	2	1	16	0	3	0	2	2	3	0	0
AC007881.2	0	1	5	2	0	0	0	0	0	0	0	0
NAGK	3074	12480	10625	21121	437	7567	960	1915	2447	1249	5684	2531
AC007881.3	9	4	3	16	0	9	1	5	0	7	2	0
MCEE	322	786	796	728	26	281	72	196	191	382	423	261
MPHOSPH10	644	1666	1513	1978	65	893	98	355	259	489	922	559
PAIP2B	52	137	185	105	8	100	18	63	50	33	60	44
ZNF638	1539	4605	3568	5105	169	7393	353	912	813	781	934	605
AC007878.1	103	16	20	49	2	39	5	6	3	13	21	13
DYSF	6	914	557	5667	49	2786	281	840	329	159	43	8
CYP26B1	0	0	0	1	0	3	1	2	0	1	1	0
EXOC6B	168	307	283	223	11	163	24	115	70	45	190	86
SPR	476	1080	1348	1332	43	385	80	293	165	147	816	309
EMX1	0	0	0	2	0	0	1	0	0	0	0	0
AC012366.1	0	0	0	0	0	0	0	0	0	0	0	0
SFXN5	364	295	284	533	8	197	48	117	59	103	251	126
RAB11FIP5	9	74	81	116	1	29	13	69	53	22	32	14
NOTO	0	0	0	0	0	0	0	0	0	0	0	0
SMYD5	139	224	210	339	8	133	31	74	54	97	131	64
PRADC1	513	716	564	702	21	300	38	370	90	382	946	410
CCT7	1830	3735	4097	7384	182	2290	306	1370	934	2231	2173	1022
FBXO41	70	100	124	232	7	68	11	22	29	62	52	18
EGR4	1	8	2	110	0	20	15	9	21	11	0	2
ALMS1	226	412	401	541	28	353	105	176	67	187	129	57
NAT8	0	29	10	7	0	7	2	0	1	0	0	0
TPRKB	1009	1972	1970	3712	87	1432	136	681	428	1109	1686	1111
AC092653.1	2	4	1	2	0	4	0	0	0	1	1	0
DUSP11	794	1608	1604	2230	75	1015	97	345	417	524	749	386
C2orf78	0	0	0	1	0	0	0	0	0	0	0	0
STAMBP	1036	2079	1973	2978	69	1341	150	491	410	584	1284	824
ACTG2	0	8	16	6	0	0	0	0	1	1	0	0
DGUOK	2147	5364	5079	9046	197	3044	406	1437	1374	1677	3097	1296
DGUOK-AS1	7	34	33	98	5	53	16	51	20	34	8	4
AC073046.1	1	16	17	26	0	10	3	8	2	8	0	0
TET3	518	360	396	2098	19	962	144	247	150	158	292	153
AC073263.1	6	1	6	3	0	8	4	4	2	0	5	1
BOLA3	883	2836	2473	8299	160	2774	174	1504	461	1926	2150	1204
BOLA3-AS1	10	34	25	74	4	13	6	13	1	26	10	8
MOB1A	7220	10261	9051	35453	488	13930	1131	4359	2546	3433	5365	2763
AC073263.2	3	3	1	21	0	4	4	4	4	4	0	0
MTHFD2	1668	4281	3624	22307	223	7652	706	1704	1388	4325	1745	894
AC006030.1	1	0	0	3	0	8	1	0	3	0	0	1
SLC4A5	12	20	20	19	1	13	5	8	10	5	4	3
DCTN1	815	2263	1619	3312	111	1345	201	784	340	527	686	332
DCTN1-AS1	0	2	2	0	0	0	0	3	1	1	0	0
AC005041.1	4	15	14	8	3	17	7	21	3	3	0	1
C2orf81	92	77	46	14	1	71	15	34	13	6	80	40
WDR54	136	820	812	942	78	586	143	415	167	530	260	144
RTKN	4	21	25	44	1	16	47	70	24	28	3	1
INO80B	251	54	65	126	3	84	18	32	22	29	337	166
INO80B-WBP1	0	0	0	1	0	0	0	0	2	1	0	0
WBP1	60	1678	1553	1819	78	612	183	456	306	674	174	115
MOGS	712	1083	1028	1643	54	689	106	350	281	559	466	270
MRPL53	323	1127	885	2184	101	1432	215	345	294	532	2050	1055
CCDC142	195	222	170	230	10	48	32	29	31	49	104	65
TTC31	441	723	593	908	35	454	50	133	105	242	220	123
LBX2	2	101	70	354	6	109	19	55	31	66	6	8
AC005041.3	7	3	1	5	1	5	1	0	1	2	4	3
LBX2-AS1	70	420	273	1649	18	998	129	179	192	236	136	64
PCGF1	362	1566	1441	1979	56	604	163	271	284	223	557	252
TLX2	0	3	1	3	0	0	0	0	0	2	0	0
DQX1	6	9	6	19	0	3	1	7	11	10	0	4
AUP1	1992	6946	6590	14484	339	4752	763	3046	1878	2989	2974	1314
HTRA2	480	940	993	1524	51	452	83	239	213	578	506	263
LOXL3	283	418	432	699	12	303	42	73	30	27	167	130
DOK1	1118	1989	1963	2883	74	780	136	305	296	365	1583	725
M1AP	180	199	189	64	5	28	11	10	7	1	189	98
SEMA4F	48	150	124	114	10	45	4	26	12	22	69	43
AC019069.1	95	83	59	80	1	50	1	10	7	17	61	40
HK2	2092	3387	2968	6152	111	3402	225	848	458	419	1544	844
LINC01291	4	2	6	4	0	2	2	0	1	2	1	1
AC104135.1	2	2	2	2	0	0	0	1	1	1	0	0
LINC01293	0	2	1	0	0	1	0	0	0	0	0	0
POLE4	2811	4148	3767	12977	170	4094	365	1489	849	1475	4640	2200
TACR1	0	0	1	0	0	1	0	2	0	0	0	0
AC007681.1	2	13	6	3	5	7	1	6	0	2	1	4
EVA1A	0	12	5	105	1	27	8	70	21	32	0	0
AC007099.2	0	0	0	0	0	0	0	0	0	0	0	0
AC007099.1	0	1	1	1	0	2	1	1	1	1	0	0
MRPL19	671	2353	2130	3202	109	1268	120	738	228	822	826	343
GCFC2	258	489	523	682	20	288	30	139	59	191	294	130
AC005034.3	102	73	76	69	0	51	3	33	12	12	55	47
AC005034.2	0	0	1	0	0	0	0	0	0	0	0	0
AC005034.4	0	1	6	2	0	1	1	1	0	1	2	0
LRRTM4	0	1	0	1	0	1	3	0	0	0	1	0
AC079117.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084149.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084149.2	0	0	0	0	0	0	0	0	0	1	0	0
LINC01851	0	0	0	0	0	0	0	0	0	0	0	0
AC012494.1	0	0	0	0	0	0	0	0	0	0	0	0
AC092660.1	0	0	0	0	0	0	0	0	0	0	0	0
REG3G	0	0	0	0	0	0	0	0	0	0	0	0
REG1B	0	0	0	0	0	0	0	0	0	0	0	0
REG1A	0	0	0	0	0	0	0	0	0	0	0	0
REG3A	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA2	0	0	0	2	0	5	0	0	0	0	0	0
AC010975.1	0	0	0	0	0	0	0	0	0	0	0	0
AC016716.2	0	0	0	0	0	0	0	0	0	0	0	0
LRRTM1	0	0	0	0	0	0	0	0	0	0	0	0
AC008067.1	0	0	0	0	0	0	0	0	0	0	0	0
AC012355.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01815	0	0	0	0	0	0	0	0	0	0	0	0
AC079896.1	0	0	0	0	0	0	0	0	0	0	0	0
AC010105.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01809	0	0	0	0	0	0	0	0	0	0	0	0
AC106874.1	0	0	0	0	0	0	0	0	0	0	0	0
SUCLG1	1958	3849	3971	4824	170	1752	227	761	542	1447	3746	1925
DNAH6	4	227	308	124	19	306	111	181	85	114	14	19
TRABD2A	36	131	123	183	3	36	11	17	45	50	56	31
TMSB10	154188	503085	395293	1339917	18712	432826	43944	144105	104428	119632	324535	158422
KCMF1	964	919	890	3250	51	1203	192	670	377	627	738	387
LINC01964	0	0	0	0	0	0	1	0	0	0	0	0
TCF7L1	53	145	133	267	4	97	16	68	24	23	67	58
TGOLN2	9371	7079	6932	10471	228	4006	485	1566	529	1333	8492	4896
RETSAT	298	395	687	793	28	287	56	217	140	170	352	209
ELMOD3	489	725	584	759	32	339	77	152	138	154	427	198
AC062037.2	0	0	0	0	0	1	0	0	0	0	0	0
CAPG	29306	63904	61071	61260	2612	24726	3679	10175	6422	4095	43032	22443
SH2D6	3	8	5	14	0	6	10	1	1	8	0	0
MAT2A	2991	5151	3902	9875	245	5407	630	1793	1519	1467	1804	1021
GGCX	528	746	787	1905	35	728	68	323	194	560	533	392
VAMP8	23509	41310	37562	45776	1416	16264	1507	7502	4304	5591	39972	20620
VAMP5	925	11632	9567	117900	384	27978	1178	4528	4411	4903	2538	592
RNF181	4099	12103	11151	16533	443	7499	784	2337	2728	3819	9857	5100
TMEM150A	437	1303	1129	1184	51	563	76	338	128	118	581	243
USP39	409	1187	1132	2288	59	804	131	310	328	494	372	174
C2orf68	647	1081	891	2258	36	747	97	294	262	311	1048	359
SFTPB	3	4	5	3620	1	628	30	468	130	6	0	0
GNLY	210	10423	14099	75336	674	8799	474	1237	2494	28619	57	22
ATOH8	6	8	9	28	0	3	2	5	41	9	4	2
AC105053.1	0	1	0	0	0	0	0	0	0	0	0	0
ST3GAL5	859	1982	1719	12844	80	3498	203	633	375	411	1290	904
ST3GAL5-AS1	8	233	157	204	4	69	6	5	8	8	3	0
AC012511.1	16	20	16	24	0	16	0	1	2	0	7	9
POLR1A	186	545	423	699	21	280	28	165	60	180	117	62
PTCD3	878	1235	1086	1734	45	746	79	367	233	487	565	334
IMMT	1667	2887	2829	4551	113	1576	152	629	461	1168	1724	941
AC009309.1	3	28	33	105	3	18	17	4	6	40	13	9
MRPL35	1026	1688	1620	2502	57	1111	111	360	287	768	1113	588
REEP1	1	20	35	8	2	34	1	14	10	1	7	5
KDM3A	485	600	679	1115	28	527	108	178	204	223	288	348
CHMP3	3180	3670	3111	5809	192	3035	353	1192	895	823	5258	3665
RNF103-CHMP3	0	3	1	13	0	1	0	2	0	2	1	1
AC015971.1	3	8	9	15	0	2	5	2	1	7	1	0
RNF103	373	295	320	1017	17	481	112	263	168	248	289	203
RMND5A	618	588	590	1504	54	700	149	304	212	408	664	345
CD8A	427	5499	4586	2373	660	735	150	398	1009	2948	39	5
CD8B	271	3509	2509	2261	396	865	45	209	862	2804	53	7
RGPD1	1	3	0	3	0	5	0	1	2	1	0	1
PLGLB1	50	37	43	60	1	28	7	10	9	24	19	21
LINC01955	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3OR2-268	0	3	2	52	0	13	4	1	2	30	0	0
LINC01943	116	408	294	4874	23	572	79	178	783	919	223	5
CYTOR	1334	2303	2469	18697	232	3383	796	1965	1191	4784	1378	340
AC133644.2	22	59	71	110	3	52	4	14	196	7	34	0
PLGLB2	1	3	13	6	1	3	1	4	0	7	1	0
RGPD2	1	4	55	60	1	52	8	3	14	5	3	4
KRCC1	1375	2837	2445	4090	123	2040	259	870	515	679	1523	718
SMYD1	0	0	0	1	0	0	0	0	0	0	0	0
FABP1	0	0	0	0	0	2	0	0	0	0	0	0
THNSL2	260	391	290	157	11	30	63	188	29	54	136	123
FOXI3	0	0	0	0	0	0	0	0	0	1	0	0
TEX37	0	0	0	0	0	0	0	0	0	0	0	0
AC104134.1	0	8	6	6	0	3	0	2	0	2	0	0
EIF2AK3	197	347	286	1286	26	419	142	404	264	349	152	73
AC062029.1	19	21	23	79	2	23	25	10	19	39	8	5
RPIA	856	1450	1367	2278	72	817	69	480	276	555	861	457
IGKC	86	450	139	35579	50	2038	4	1992	80	30148	68	74
IGKJ5	0	0	0	0	0	0	0	0	0	0	0	0
IGKJ4	0	0	0	0	0	0	0	0	0	3	0	0
IGKJ3	0	0	0	0	0	0	0	0	0	0	0	0
IGKJ2	0	0	0	0	0	0	0	0	0	0	0	0
IGKJ1	0	0	0	0	0	0	0	0	0	0	0	0
IGKV4-1	0	229	0	16999	0	541	0	37	0	36611	0	0
IGKV5-2	0	2	0	4	0	1	0	0	0	108	0	0
IGKV7-3	0	0	6	4	0	0	0	0	9	0	0	0
IGKV2-4	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-5	0	212	97	8351	1	2832	0	0	0	6955	0	0
IGKV1-6	0	4	4	4373	0	1	0	0	9	5520	0	0
IGKV3-7	0	0	0	1246	0	0	0	4	0	117	0	0
IGKV1-8	0	121	1	2193	0	0	0	0	7	8308	0	0
IGKV1-9	0	59	0	194	0	11	0	7101	10	3607	0	0
IGKV2-10	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3-11	0	2	15	28378	0	681	1	288	46	31563	0	0
IGKV1-12	0	23	0	610	4	668	0	0	16	1635	0	0
IGKV1-13	0	0	0	174	0	1	0	0	0	5	0	0
IGKV2-14	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3-15	0	13	45	23711	0	14	26	11710	7	1620	0	0
IGKV1-16	0	86	56	3050	0	32	0	0	3	35	0	0
IGKV1-17	0	0	2	7203	0	5	0	3	0	141	0	0
IGKV2-18	0	0	0	422	0	0	0	0	0	3	0	0
IGKV2-19	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3-20	0	366	130	57376	145	192	0	117	7	20780	0	0
IGKV6-21	0	287	0	8388	0	0	0	1	0	2	0	0
IGKV1-22	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-23	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-24	0	0	0	0	0	0	0	0	4	737	0	0
IGKV3-25	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-26	0	0	0	31	0	0	0	29	0	1	0	0
IGKV1-27	0	0	71	5324	0	16	2	0	0	15721	0	0
IGKV2-28	0	0	0	1	0	0	0	0	0	4	0	0
IGKV2-29	0	11	0	4	69	2	0	0	0	843	0	0
IGKV2-30	0	195	0	11371	0	0	0	45	23	4925	0	0
IGKV3-31	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-32	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-33	0	11	0	54	0	0	0	0	0	78	0	0
IGKV3-34	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-35	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-36	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-37	0	0	0	1	0	0	0	1	0	0	0	0
IGKV2-38	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1-39	0	5	5	2994	0	4	0	1	15	9085	0	0
IGKV2-40	0	0	0	1	0	0	0	0	0	0	0	0
IGKV2D-40	0	0	0	413	0	2	0	0	0	1	0	0
IGKV1D-39	0	0	7	1061	0	3	0	3	3	13766	0	0
IGKV2D-38	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1D-37	0	0	0	0	0	0	0	0	0	1	0	0
IGKV2D-36	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1D-35	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-34	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1D-33	0	3	0	1304	0	1	0	0	0	214	0	0
IGKV1D-32	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-31	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2D-30	0	36	0	177	0	0	0	0	0	13	0	0
IGKV2D-29	0	0	0	16451	0	1	0	0	0	4	0	0
IGKV2D-28	0	0	2	598	0	36	0	0	11	1654	0	0
IGKV1D-27	0	0	0	24	0	0	0	0	0	14	0	0
IGKV2D-26	0	0	0	2	0	0	0	0	0	0	0	0
